FID	IID	PHENO
samp_g0_3#1#ref#0	samp_g0_3#1#ref#0	0.4386
samp_g0_3#0#ref#0	samp_g0_3#0#ref#0	0.3708
samp_g0_23#0#ref#0	samp_g0_23#0#ref#0	0.4087
samp_g0_28#0#ref#0	samp_g0_28#0#ref#0	0.3026
samp_g0_28#1#ref#0	samp_g0_28#1#ref#0	0.1641
samp_g0_93#0#ref#0	samp_g0_93#0#ref#0	0.0726
samp_g0_93#1#ref#0	samp_g0_93#1#ref#0	0.2770
samp_g0_39#0#ref#0	samp_g0_39#0#ref#0	0.2685
samp_g0_39#1#ref#0	samp_g0_39#1#ref#0	0.3498
samp_g0_76#0#ref#0	samp_g0_76#0#ref#0	0.5997
samp_g0_88#0#ref#0	samp_g0_88#0#ref#0	0.4952
samp_g0_76#1#ref#0	samp_g0_76#1#ref#0	0.3824
samp_g0_88#1#ref#0	samp_g0_88#1#ref#0	0.9288
samp_g0_29#0#ref#0	samp_g0_29#0#ref#0	0.2658
samp_g0_29#1#ref#0	samp_g0_29#1#ref#0	0.9402
samp_g0_1#0#ref#0	samp_g0_1#0#ref#0	0.5124
samp_g0_1#1#ref#0	samp_g0_1#1#ref#0	0.9259
samp_g0_10#1#ref#0	samp_g0_10#1#ref#0	0.9512
samp_g0_10#0#ref#0	samp_g0_10#0#ref#0	0.4801
samp_g0_25#0#ref#0	samp_g0_25#0#ref#0	0.4076
samp_g0_25#1#ref#0	samp_g0_25#1#ref#0	0.9513
samp_g0_0#0#ref#0	samp_g0_0#0#ref#0	0.0241
samp_g0_0#1#ref#0	samp_g0_0#1#ref#0	0.4869
samp_g0_11#0#ref#0	samp_g0_11#0#ref#0	0.4593
samp_g0_11#1#ref#0	samp_g0_11#1#ref#0	0.0802
samp_g0_2#0#ref#0	samp_g0_2#0#ref#0	0.2855
samp_g0_2#1#ref#0	samp_g0_2#1#ref#0	0.7515
samp_g0_56#0#ref#0	samp_g0_56#0#ref#0	0.8543
samp_g0_56#1#ref#0	samp_g0_56#1#ref#0	0.5842
samp_g0_13#1#ref#0	samp_g0_13#1#ref#0	0.0570
samp_g0_13#0#ref#0	samp_g0_13#0#ref#0	0.4565
samp_g0_55#0#ref#0	samp_g0_55#0#ref#0	0.8592
samp_g0_55#1#ref#0	samp_g0_55#1#ref#0	0.0019
samp_g0_98#0#ref#0	samp_g0_98#0#ref#0	0.7543
samp_g0_98#1#ref#0	samp_g0_98#1#ref#0	0.3288
samp_g0_71#1#ref#0	samp_g0_71#1#ref#0	0.8349
samp_g0_71#0#ref#0	samp_g0_71#0#ref#0	0.8040
samp_g0_83#0#ref#0	samp_g0_83#0#ref#0	0.8947
samp_g0_31#1#ref#0	samp_g0_31#1#ref#0	0.0826
samp_g0_31#0#ref#0	samp_g0_31#0#ref#0	0.3505
samp_g0_96#0#ref#0	samp_g0_96#0#ref#0	0.3994
samp_g0_83#1#ref#0	samp_g0_83#1#ref#0	0.0304
samp_g0_96#1#ref#0	samp_g0_96#1#ref#0	0.3556
samp_g0_51#0#ref#0	samp_g0_51#0#ref#0	0.6428
samp_g0_51#1#ref#0	samp_g0_51#1#ref#0	0.1708
samp_g0_72#0#ref#0	samp_g0_72#0#ref#0	0.9414
samp_g0_72#1#ref#0	samp_g0_72#1#ref#0	0.6602
samp_g0_47#0#ref#0	samp_g0_47#0#ref#0	0.0512
samp_g0_47#1#ref#0	samp_g0_47#1#ref#0	0.3607
samp_g0_34#0#ref#0	samp_g0_34#0#ref#0	0.2087
samp_g0_34#1#ref#0	samp_g0_34#1#ref#0	0.1751
samp_g0_65#0#ref#0	samp_g0_65#0#ref#0	0.8926
samp_g0_65#1#ref#0	samp_g0_65#1#ref#0	0.5800
samp_g0_4#1#ref#0	samp_g0_4#1#ref#0	0.7181
samp_g0_4#0#ref#0	samp_g0_4#0#ref#0	0.5566
samp_g0_90#1#ref#0	samp_g0_90#1#ref#0	0.3682
samp_g0_90#0#ref#0	samp_g0_90#0#ref#0	0.0152
samp_g0_35#0#ref#0	samp_g0_35#0#ref#0	0.2127
samp_g0_35#1#ref#0	samp_g0_35#1#ref#0	0.6267
samp_g0_67#0#ref#0	samp_g0_67#0#ref#0	0.8766
samp_g0_67#1#ref#0	samp_g0_67#1#ref#0	0.0143
samp_g0_84#0#ref#0	samp_g0_84#0#ref#0	0.3367
samp_g0_66#0#ref#0	samp_g0_66#0#ref#0	0.9511
samp_g0_66#1#ref#0	samp_g0_66#1#ref#0	0.6418
samp_g0_84#1#ref#0	samp_g0_84#1#ref#0	0.6506
samp_g0_68#1#ref#0	samp_g0_68#1#ref#0	0.7797
samp_g0_26#1#ref#0	samp_g0_26#1#ref#0	0.9202
samp_g0_26#0#ref#0	samp_g0_26#0#ref#0	0.8426
samp_g0_85#1#ref#0	samp_g0_85#1#ref#0	0.7927
samp_g0_85#0#ref#0	samp_g0_85#0#ref#0	0.3003
samp_g0_89#0#ref#0	samp_g0_89#0#ref#0	0.4947
samp_g0_89#1#ref#0	samp_g0_89#1#ref#0	0.4147
samp_g0_68#0#ref#0	samp_g0_68#0#ref#0	0.3911
samp_g0_14#0#ref#0	samp_g0_14#0#ref#0	0.7217
samp_g0_42#1#ref#0	samp_g0_42#1#ref#0	0.1016
samp_g0_54#1#ref#0	samp_g0_54#1#ref#0	0.9311
samp_g0_42#0#ref#0	samp_g0_42#0#ref#0	0.7971
samp_g0_54#0#ref#0	samp_g0_54#0#ref#0	0.9385
samp_g0_14#1#ref#0	samp_g0_14#1#ref#0	0.7938
samp_g0_62#1#ref#0	samp_g0_62#1#ref#0	0.9987
samp_g0_6#1#ref#0	samp_g0_6#1#ref#0	0.5092
samp_g0_36#1#ref#0	samp_g0_36#1#ref#0	0.4905
samp_g0_49#0#ref#0	samp_g0_49#0#ref#0	0.9745
samp_g0_36#0#ref#0	samp_g0_36#0#ref#0	0.4666
samp_g0_6#0#ref#0	samp_g0_6#0#ref#0	0.1579
samp_g0_81#0#ref#0	samp_g0_81#0#ref#0	0.7301
samp_g0_62#0#ref#0	samp_g0_62#0#ref#0	0.8524
samp_g0_81#1#ref#0	samp_g0_81#1#ref#0	0.0532
samp_g0_40#0#ref#0	samp_g0_40#0#ref#0	0.2889
samp_g0_43#1#ref#0	samp_g0_43#1#ref#0	0.5842
samp_g0_40#1#ref#0	samp_g0_40#1#ref#0	0.2515
samp_g0_43#0#ref#0	samp_g0_43#0#ref#0	0.6114
samp_g0_45#0#ref#0	samp_g0_45#0#ref#0	0.0181
samp_g0_82#0#ref#0	samp_g0_82#0#ref#0	0.4844
samp_g0_45#1#ref#0	samp_g0_45#1#ref#0	0.4698
samp_g0_82#1#ref#0	samp_g0_82#1#ref#0	0.3626
samp_g0_5#1#ref#0	samp_g0_5#1#ref#0	0.1758
samp_g0_5#0#ref#0	samp_g0_5#0#ref#0	0.7685
samp_g0_27#0#ref#0	samp_g0_27#0#ref#0	0.7862
samp_g0_27#1#ref#0	samp_g0_27#1#ref#0	0.4694
samp_g0_92#0#ref#0	samp_g0_92#0#ref#0	0.1959
samp_g0_92#1#ref#0	samp_g0_92#1#ref#0	0.4353
samp_g0_87#0#ref#0	samp_g0_87#0#ref#0	0.9798
samp_g0_87#1#ref#0	samp_g0_87#1#ref#0	0.3258
samp_g0_86#1#ref#0	samp_g0_86#1#ref#0	0.2501
samp_g0_86#0#ref#0	samp_g0_86#0#ref#0	0.0047
samp_g0_74#0#ref#0	samp_g0_74#0#ref#0	0.5233
samp_g0_74#1#ref#0	samp_g0_74#1#ref#0	0.7352
samp_g0_57#1#ref#0	samp_g0_57#1#ref#0	0.1760
samp_g0_57#0#ref#0	samp_g0_57#0#ref#0	0.6222
samp_g0_53#1#ref#0	samp_g0_53#1#ref#0	0.0992
samp_g0_97#0#ref#0	samp_g0_97#0#ref#0	0.8654
samp_g0_53#0#ref#0	samp_g0_53#0#ref#0	0.2419
samp_g0_97#1#ref#0	samp_g0_97#1#ref#0	0.7199
samp_g0_17#1#ref#0	samp_g0_17#1#ref#0	0.0564
samp_g0_17#0#ref#0	samp_g0_17#0#ref#0	0.9425
samp_g0_69#1#ref#0	samp_g0_69#1#ref#0	0.4534
samp_g0_69#0#ref#0	samp_g0_69#0#ref#0	0.8136
samp_g0_33#1#ref#0	samp_g0_33#1#ref#0	0.5830
samp_g0_33#0#ref#0	samp_g0_33#0#ref#0	0.6218
samp_g0_37#0#ref#0	samp_g0_37#0#ref#0	0.2773
samp_g0_37#1#ref#0	samp_g0_37#1#ref#0	0.7214
samp_g0_44#0#ref#0	samp_g0_44#0#ref#0	0.5715
samp_g0_63#1#ref#0	samp_g0_63#1#ref#0	0.9189
samp_g0_44#1#ref#0	samp_g0_44#1#ref#0	0.1078
samp_g0_63#0#ref#0	samp_g0_63#0#ref#0	0.4796
samp_g0_79#0#ref#0	samp_g0_79#0#ref#0	0.9143
samp_g0_79#1#ref#0	samp_g0_79#1#ref#0	0.7536
samp_g0_15#1#ref#0	samp_g0_15#1#ref#0	0.4201
samp_g0_15#0#ref#0	samp_g0_15#0#ref#0	0.2958
samp_g0_80#1#ref#0	samp_g0_80#1#ref#0	0.8821
samp_g0_80#0#ref#0	samp_g0_80#0#ref#0	0.2641
samp_g0_12#1#ref#0	samp_g0_12#1#ref#0	0.8957
samp_g0_58#1#ref#0	samp_g0_58#1#ref#0	0.9679
samp_g0_58#0#ref#0	samp_g0_58#0#ref#0	0.5335
samp_g0_73#0#ref#0	samp_g0_73#0#ref#0	0.0693
samp_g0_60#0#ref#0	samp_g0_60#0#ref#0	0.7809
samp_g1_4#1#ref#0	samp_g1_4#1#ref#0	0.4432
samp_g1_99#1#ref#0	samp_g1_99#1#ref#0	0.1393
samp_g1_99#0#ref#0	samp_g1_99#0#ref#0	0.5338
samp_g1_81#1#ref#0	samp_g1_81#1#ref#0	0.8440
samp_g1_81#0#ref#0	samp_g1_81#0#ref#0	0.6707
samp_g1_72#1#ref#0	samp_g1_72#1#ref#0	0.3852
samp_g1_2#0#ref#0	samp_g1_2#0#ref#0	0.5443
samp_g1_2#1#ref#0	samp_g1_2#1#ref#0	0.5595
samp_g1_72#0#ref#0	samp_g1_72#0#ref#0	0.4019
samp_g1_89#1#ref#0	samp_g1_89#1#ref#0	0.8967
samp_g1_57#1#ref#0	samp_g1_57#1#ref#0	0.2382
samp_g1_10#0#ref#0	samp_g1_10#0#ref#0	0.3707
samp_g1_20#0#ref#0	samp_g1_20#0#ref#0	0.3854
samp_g1_20#1#ref#0	samp_g1_20#1#ref#0	0.2882
samp_g1_10#1#ref#0	samp_g1_10#1#ref#0	0.9732
samp_g1_34#0#ref#0	samp_g1_34#0#ref#0	0.3122
samp_g1_57#0#ref#0	samp_g1_57#0#ref#0	0.6908
samp_g1_89#0#ref#0	samp_g1_89#0#ref#0	0.6084
samp_g1_34#1#ref#0	samp_g1_34#1#ref#0	0.6463
samp_g1_31#1#ref#0	samp_g1_31#1#ref#0	0.9473
samp_g1_31#0#ref#0	samp_g1_31#0#ref#0	0.4253
samp_g1_42#0#ref#0	samp_g1_42#0#ref#0	0.7855
samp_g1_42#1#ref#0	samp_g1_42#1#ref#0	0.3271
samp_g1_36#0#ref#0	samp_g1_36#0#ref#0	0.1608
samp_g1_36#1#ref#0	samp_g1_36#1#ref#0	0.9870
samp_g1_24#1#ref#0	samp_g1_24#1#ref#0	0.0651
samp_g1_24#0#ref#0	samp_g1_24#0#ref#0	0.3416
samp_g1_84#0#ref#0	samp_g1_84#0#ref#0	0.6439
samp_g1_84#1#ref#0	samp_g1_84#1#ref#0	0.1130
samp_g1_70#1#ref#0	samp_g1_70#1#ref#0	0.0065
samp_g1_70#0#ref#0	samp_g1_70#0#ref#0	0.9821
samp_g1_92#1#ref#0	samp_g1_92#1#ref#0	0.8714
samp_g1_92#0#ref#0	samp_g1_92#0#ref#0	0.3725
samp_g1_5#0#ref#0	samp_g1_5#0#ref#0	0.1857
samp_g1_67#1#ref#0	samp_g1_67#1#ref#0	0.9457
samp_g1_5#1#ref#0	samp_g1_5#1#ref#0	0.1955
samp_g1_67#0#ref#0	samp_g1_67#0#ref#0	0.0846
samp_g1_83#0#ref#0	samp_g1_83#0#ref#0	0.2156
samp_g1_83#1#ref#0	samp_g1_83#1#ref#0	0.2672
samp_g1_12#0#ref#0	samp_g1_12#0#ref#0	0.6334
samp_g1_12#1#ref#0	samp_g1_12#1#ref#0	0.2477
samp_g1_54#0#ref#0	samp_g1_54#0#ref#0	0.4500
samp_g1_82#1#ref#0	samp_g1_82#1#ref#0	0.2218
samp_g1_82#0#ref#0	samp_g1_82#0#ref#0	0.0965
samp_g1_66#1#ref#0	samp_g1_66#1#ref#0	0.4590
samp_g1_54#1#ref#0	samp_g1_54#1#ref#0	0.5081
samp_g1_3#0#ref#0	samp_g1_3#0#ref#0	0.3506
samp_g1_3#1#ref#0	samp_g1_3#1#ref#0	0.5846
samp_g1_35#0#ref#0	samp_g1_35#0#ref#0	0.3731
samp_g1_35#1#ref#0	samp_g1_35#1#ref#0	0.6775
samp_g1_8#1#ref#0	samp_g1_8#1#ref#0	0.1950
samp_g1_21#1#ref#0	samp_g1_21#1#ref#0	0.1931
samp_g1_21#0#ref#0	samp_g1_21#0#ref#0	0.7400
samp_g1_78#0#ref#0	samp_g1_78#0#ref#0	0.4262
samp_g1_8#0#ref#0	samp_g1_8#0#ref#0	0.0343
samp_g1_66#0#ref#0	samp_g1_66#0#ref#0	0.4294
samp_g1_29#0#ref#0	samp_g1_29#0#ref#0	0.4158
samp_g1_33#1#ref#0	samp_g1_33#1#ref#0	0.8020
samp_g1_33#0#ref#0	samp_g1_33#0#ref#0	0.0040
samp_g1_78#1#ref#0	samp_g1_78#1#ref#0	0.4645
samp_g1_43#1#ref#0	samp_g1_43#1#ref#0	0.2571
samp_g1_43#0#ref#0	samp_g1_43#0#ref#0	0.9525
samp_g1_71#0#ref#0	samp_g1_71#0#ref#0	0.6081
samp_g1_71#1#ref#0	samp_g1_71#1#ref#0	0.0396
samp_g1_26#0#ref#0	samp_g1_26#0#ref#0	0.2785
samp_g1_26#1#ref#0	samp_g1_26#1#ref#0	0.5292
samp_g1_65#0#ref#0	samp_g1_65#0#ref#0	0.8528
samp_g1_65#1#ref#0	samp_g1_65#1#ref#0	0.3593
samp_g1_25#0#ref#0	samp_g1_25#0#ref#0	0.6359
samp_g1_50#0#ref#0	samp_g1_50#0#ref#0	0.4569
samp_g1_25#1#ref#0	samp_g1_25#1#ref#0	0.4746
samp_g1_50#1#ref#0	samp_g1_50#1#ref#0	0.1692
samp_g1_1#1#ref#0	samp_g1_1#1#ref#0	0.2789
samp_g1_1#0#ref#0	samp_g1_1#0#ref#0	0.7534
samp_g1_23#1#ref#0	samp_g1_23#1#ref#0	0.2197
samp_g1_23#0#ref#0	samp_g1_23#0#ref#0	0.0018
samp_g1_48#0#ref#0	samp_g1_48#0#ref#0	0.2286
samp_g1_48#1#ref#0	samp_g1_48#1#ref#0	0.8834
samp_g1_63#1#ref#0	samp_g1_63#1#ref#0	0.6205
samp_g1_91#1#ref#0	samp_g1_91#1#ref#0	0.6956
samp_g1_91#0#ref#0	samp_g1_91#0#ref#0	0.0980
samp_g1_64#0#ref#0	samp_g1_64#0#ref#0	0.6740
samp_g1_64#1#ref#0	samp_g1_64#1#ref#0	0.9855
samp_g1_63#0#ref#0	samp_g1_63#0#ref#0	0.0951
samp_g1_85#1#ref#0	samp_g1_85#1#ref#0	0.4245
samp_g1_49#1#ref#0	samp_g1_49#1#ref#0	0.0855
samp_g1_85#0#ref#0	samp_g1_85#0#ref#0	0.6085
samp_g1_49#0#ref#0	samp_g1_49#0#ref#0	0.7912
samp_g1_45#1#ref#0	samp_g1_45#1#ref#0	0.7600
samp_g1_94#0#ref#0	samp_g1_94#0#ref#0	0.3136
samp_g1_94#1#ref#0	samp_g1_94#1#ref#0	0.3008
samp_g1_68#1#ref#0	samp_g1_68#1#ref#0	0.3589
samp_g1_27#0#ref#0	samp_g1_27#0#ref#0	0.7430
samp_g1_68#0#ref#0	samp_g1_68#0#ref#0	0.5258
samp_g1_27#1#ref#0	samp_g1_27#1#ref#0	0.7378
samp_g1_45#0#ref#0	samp_g1_45#0#ref#0	0.2108
samp_g1_75#0#ref#0	samp_g1_75#0#ref#0	0.5480
samp_g1_60#1#ref#0	samp_g1_60#1#ref#0	0.2955
samp_g1_75#1#ref#0	samp_g1_75#1#ref#0	0.7196
samp_g1_86#0#ref#0	samp_g1_86#0#ref#0	0.4975
samp_g1_86#1#ref#0	samp_g1_86#1#ref#0	0.7894
samp_g1_95#0#ref#0	samp_g1_95#0#ref#0	0.3085
samp_g1_95#1#ref#0	samp_g1_95#1#ref#0	0.5992
samp_g1_60#0#ref#0	samp_g1_60#0#ref#0	0.6426
samp_g1_44#0#ref#0	samp_g1_44#0#ref#0	0.2919
samp_g1_28#0#ref#0	samp_g1_28#0#ref#0	0.1154
samp_g1_28#1#ref#0	samp_g1_28#1#ref#0	0.1332
samp_g1_44#1#ref#0	samp_g1_44#1#ref#0	0.3492
samp_g1_14#1#ref#0	samp_g1_14#1#ref#0	0.2690
samp_g1_14#0#ref#0	samp_g1_14#0#ref#0	0.7135
samp_g1_17#0#ref#0	samp_g1_17#0#ref#0	0.0396
samp_g1_87#0#ref#0	samp_g1_87#0#ref#0	0.3351
samp_g1_80#1#ref#0	samp_g1_80#1#ref#0	0.3161
samp_g1_80#0#ref#0	samp_g1_80#0#ref#0	0.2798
samp_g1_87#1#ref#0	samp_g1_87#1#ref#0	0.0529
samp_g1_17#1#ref#0	samp_g1_17#1#ref#0	0.7629
samp_g1_98#1#ref#0	samp_g1_98#1#ref#0	0.3373
samp_g1_98#0#ref#0	samp_g1_98#0#ref#0	0.8849
samp_g1_88#0#ref#0	samp_g1_88#0#ref#0	0.2640
samp_g1_88#1#ref#0	samp_g1_88#1#ref#0	0.3828
samp_g1_18#1#ref#0	samp_g1_18#1#ref#0	0.0337
samp_g1_18#0#ref#0	samp_g1_18#0#ref#0	0.1971
samp_g1_74#0#ref#0	samp_g1_74#0#ref#0	0.3682
samp_g1_74#1#ref#0	samp_g1_74#1#ref#0	0.8033
samp_g1_93#0#ref#0	samp_g1_93#0#ref#0	0.7412
samp_g1_93#1#ref#0	samp_g1_93#1#ref#0	0.3411
samp_g1_96#0#ref#0	samp_g1_96#0#ref#0	0.4191
samp_g1_16#1#ref#0	samp_g1_16#1#ref#0	0.4372
samp_g1_51#0#ref#0	samp_g1_51#0#ref#0	0.6773
samp_g1_16#0#ref#0	samp_g1_16#0#ref#0	0.8744
samp_g1_51#1#ref#0	samp_g1_51#1#ref#0	0.1114
samp_g1_96#1#ref#0	samp_g1_96#1#ref#0	0.7907
samp_g1_7#1#ref#0	samp_g1_7#1#ref#0	0.6526
samp_g1_62#1#ref#0	samp_g1_62#1#ref#0	0.7596
samp_g1_7#0#ref#0	samp_g1_7#0#ref#0	0.8213
samp_g1_32#1#ref#0	samp_g1_32#1#ref#0	0.2554
samp_g1_32#0#ref#0	samp_g1_32#0#ref#0	0.5202
samp_g1_62#0#ref#0	samp_g1_62#0#ref#0	0.1812
samp_g1_69#1#ref#0	samp_g1_69#1#ref#0	0.3528
samp_g1_29#1#ref#0	samp_g1_29#1#ref#0	0.6993
samp_g1_69#0#ref#0	samp_g1_69#0#ref#0	0.5370
samp_g1_56#1#ref#0	samp_g1_56#1#ref#0	0.0157
samp_g1_15#1#ref#0	samp_g1_15#1#ref#0	0.4924
samp_g1_30#0#ref#0	samp_g1_30#0#ref#0	0.1758
samp_g1_30#1#ref#0	samp_g1_30#1#ref#0	0.3094
samp_g1_52#1#ref#0	samp_g1_52#1#ref#0	0.3068
samp_g1_52#0#ref#0	samp_g1_52#0#ref#0	0.0315
samp_g1_73#0#ref#0	samp_g1_73#0#ref#0	0.1345
samp_g1_73#1#ref#0	samp_g1_73#1#ref#0	0.0901
samp_g1_15#0#ref#0	samp_g1_15#0#ref#0	0.6408
samp_g1_56#0#ref#0	samp_g1_56#0#ref#0	0.1266
samp_g1_0#1#ref#0	samp_g1_0#1#ref#0	0.9404
samp_g1_77#0#ref#0	samp_g1_77#0#ref#0	0.4399
samp_g1_0#0#ref#0	samp_g1_0#0#ref#0	0.1308
samp_g1_77#1#ref#0	samp_g1_77#1#ref#0	0.4875
samp_g1_11#1#ref#0	samp_g1_11#1#ref#0	0.7159
samp_g1_40#0#ref#0	samp_g1_40#0#ref#0	0.9979
samp_g1_40#1#ref#0	samp_g1_40#1#ref#0	0.8391
samp_g1_76#1#ref#0	samp_g1_76#1#ref#0	0.1302
samp_g1_76#0#ref#0	samp_g1_76#0#ref#0	0.6253
samp_g1_11#0#ref#0	samp_g1_11#0#ref#0	0.5173
samp_g1_39#1#ref#0	samp_g1_39#1#ref#0	0.1982
samp_g1_39#0#ref#0	samp_g1_39#0#ref#0	0.6579
samp_g1_97#0#ref#0	samp_g1_97#0#ref#0	0.6691
samp_g1_9#1#ref#0	samp_g1_9#1#ref#0	0.7052
samp_g1_9#0#ref#0	samp_g1_9#0#ref#0	0.9210
samp_g1_97#1#ref#0	samp_g1_97#1#ref#0	0.1212
samp_g1_6#1#ref#0	samp_g1_6#1#ref#0	0.7798
samp_g1_90#1#ref#0	samp_g1_90#1#ref#0	0.2569
samp_g1_6#0#ref#0	samp_g1_6#0#ref#0	0.3106
samp_g1_90#0#ref#0	samp_g1_90#0#ref#0	0.3737
samp_g1_41#0#ref#0	samp_g1_41#0#ref#0	0.2832
samp_g1_41#1#ref#0	samp_g1_41#1#ref#0	0.0009
samp_g1_46#0#ref#0	samp_g1_46#0#ref#0	0.5916
samp_g1_46#1#ref#0	samp_g1_46#1#ref#0	0.7112
samp_g1_22#1#ref#0	samp_g1_22#1#ref#0	0.6396
samp_g1_61#0#ref#0	samp_g1_61#0#ref#0	0.0715
samp_g1_13#0#ref#0	samp_g1_13#0#ref#0	0.2215
samp_g1_22#0#ref#0	samp_g1_22#0#ref#0	0.3311
samp_g1_37#0#ref#0	samp_g1_37#0#ref#0	0.8309
samp_g1_37#1#ref#0	samp_g1_37#1#ref#0	0.9579
samp_g1_55#1#ref#0	samp_g1_55#1#ref#0	0.9830
samp_g1_13#1#ref#0	samp_g1_13#1#ref#0	0.2520
samp_g1_53#1#ref#0	samp_g1_53#1#ref#0	0.7553
samp_g1_53#0#ref#0	samp_g1_53#0#ref#0	0.6852
samp_g1_61#1#ref#0	samp_g1_61#1#ref#0	0.8468
samp_g1_55#0#ref#0	samp_g1_55#0#ref#0	0.1282
samp_g1_58#0#ref#0	samp_g1_58#0#ref#0	0.8492
samp_g1_58#1#ref#0	samp_g1_58#1#ref#0	0.3731
samp_g1_19#1#ref#0	samp_g1_19#1#ref#0	0.8644
samp_g1_38#0#ref#0	samp_g1_38#0#ref#0	0.5518
samp_g1_38#1#ref#0	samp_g1_38#1#ref#0	0.5793
samp_g1_79#1#ref#0	samp_g1_79#1#ref#0	0.6220
samp_g1_79#0#ref#0	samp_g1_79#0#ref#0	0.7718
samp_g1_47#0#ref#0	samp_g1_47#0#ref#0	0.3306
samp_g1_47#1#ref#0	samp_g1_47#1#ref#0	0.5982
samp_g1_19#0#ref#0	samp_g1_19#0#ref#0	0.1946
samp_g1_4#0#ref#0	samp_g1_4#0#ref#0	0.4078
samp_g1_59#0#ref#0	samp_g1_59#0#ref#0	0.8557
