FID	IID	PHENO
samp_g0_18#0#ref#0	samp_g0_18#0#ref#0	1
samp_g0_18#1#ref#0	samp_g0_18#1#ref#0	1
samp_g0_49#1#ref#0	samp_g0_49#1#ref#0	1
samp_g0_20#0#ref#0	samp_g0_20#0#ref#0	1
samp_g0_52#0#ref#0	samp_g0_52#0#ref#0	1
samp_g0_52#1#ref#0	samp_g0_52#1#ref#0	1
samp_g0_91#1#ref#0	samp_g0_91#1#ref#0	1
samp_g0_91#0#ref#0	samp_g0_91#0#ref#0	1
samp_g0_41#1#ref#0	samp_g0_41#1#ref#0	1
samp_g0_41#0#ref#0	samp_g0_41#0#ref#0	1
samp_g0_23#1#ref#0	samp_g0_23#1#ref#0	1
samp_g0_3#1#ref#0	samp_g0_3#1#ref#0	1
samp_g0_3#0#ref#0	samp_g0_3#0#ref#0	1
samp_g0_23#0#ref#0	samp_g0_23#0#ref#0	1
samp_g0_28#0#ref#0	samp_g0_28#0#ref#0	1
samp_g0_28#1#ref#0	samp_g0_28#1#ref#0	1
samp_g0_93#0#ref#0	samp_g0_93#0#ref#0	1
samp_g0_93#1#ref#0	samp_g0_93#1#ref#0	1
samp_g0_39#0#ref#0	samp_g0_39#0#ref#0	1
samp_g0_39#1#ref#0	samp_g0_39#1#ref#0	1
samp_g0_76#0#ref#0	samp_g0_76#0#ref#0	1
samp_g0_88#0#ref#0	samp_g0_88#0#ref#0	1
samp_g0_76#1#ref#0	samp_g0_76#1#ref#0	1
samp_g0_88#1#ref#0	samp_g0_88#1#ref#0	1
samp_g0_29#0#ref#0	samp_g0_29#0#ref#0	1
samp_g0_29#1#ref#0	samp_g0_29#1#ref#0	1
samp_g0_1#0#ref#0	samp_g0_1#0#ref#0	1
samp_g0_1#1#ref#0	samp_g0_1#1#ref#0	1
samp_g0_10#1#ref#0	samp_g0_10#1#ref#0	1
samp_g0_10#0#ref#0	samp_g0_10#0#ref#0	1
samp_g0_25#0#ref#0	samp_g0_25#0#ref#0	1
samp_g0_25#1#ref#0	samp_g0_25#1#ref#0	1
samp_g0_0#0#ref#0	samp_g0_0#0#ref#0	1
samp_g0_0#1#ref#0	samp_g0_0#1#ref#0	1
samp_g0_11#0#ref#0	samp_g0_11#0#ref#0	1
samp_g0_11#1#ref#0	samp_g0_11#1#ref#0	1
samp_g0_2#0#ref#0	samp_g0_2#0#ref#0	1
samp_g0_2#1#ref#0	samp_g0_2#1#ref#0	1
samp_g0_56#0#ref#0	samp_g0_56#0#ref#0	1
samp_g0_56#1#ref#0	samp_g0_56#1#ref#0	1
samp_g0_13#1#ref#0	samp_g0_13#1#ref#0	1
samp_g0_13#0#ref#0	samp_g0_13#0#ref#0	1
samp_g0_55#0#ref#0	samp_g0_55#0#ref#0	1
samp_g0_55#1#ref#0	samp_g0_55#1#ref#0	1
samp_g0_98#0#ref#0	samp_g0_98#0#ref#0	1
samp_g0_98#1#ref#0	samp_g0_98#1#ref#0	1
samp_g0_71#1#ref#0	samp_g0_71#1#ref#0	1
samp_g0_71#0#ref#0	samp_g0_71#0#ref#0	1
samp_g0_83#0#ref#0	samp_g0_83#0#ref#0	1
samp_g0_31#1#ref#0	samp_g0_31#1#ref#0	1
samp_g0_31#0#ref#0	samp_g0_31#0#ref#0	1
samp_g0_96#0#ref#0	samp_g0_96#0#ref#0	1
samp_g0_83#1#ref#0	samp_g0_83#1#ref#0	1
samp_g0_96#1#ref#0	samp_g0_96#1#ref#0	1
samp_g0_51#0#ref#0	samp_g0_51#0#ref#0	1
samp_g0_51#1#ref#0	samp_g0_51#1#ref#0	1
samp_g0_72#0#ref#0	samp_g0_72#0#ref#0	1
samp_g0_72#1#ref#0	samp_g0_72#1#ref#0	1
samp_g0_47#0#ref#0	samp_g0_47#0#ref#0	1
samp_g0_47#1#ref#0	samp_g0_47#1#ref#0	1
samp_g0_34#0#ref#0	samp_g0_34#0#ref#0	1
samp_g0_34#1#ref#0	samp_g0_34#1#ref#0	1
samp_g0_65#0#ref#0	samp_g0_65#0#ref#0	1
samp_g0_65#1#ref#0	samp_g0_65#1#ref#0	1
samp_g0_4#1#ref#0	samp_g0_4#1#ref#0	1
samp_g0_4#0#ref#0	samp_g0_4#0#ref#0	1
samp_g0_90#1#ref#0	samp_g0_90#1#ref#0	1
samp_g0_90#0#ref#0	samp_g0_90#0#ref#0	1
samp_g0_35#0#ref#0	samp_g0_35#0#ref#0	1
samp_g0_35#1#ref#0	samp_g0_35#1#ref#0	1
samp_g0_67#0#ref#0	samp_g0_67#0#ref#0	1
samp_g0_67#1#ref#0	samp_g0_67#1#ref#0	1
samp_g0_84#0#ref#0	samp_g0_84#0#ref#0	1
samp_g0_66#0#ref#0	samp_g0_66#0#ref#0	1
samp_g0_66#1#ref#0	samp_g0_66#1#ref#0	1
samp_g0_84#1#ref#0	samp_g0_84#1#ref#0	1
samp_g0_68#1#ref#0	samp_g0_68#1#ref#0	1
samp_g0_26#1#ref#0	samp_g0_26#1#ref#0	1
samp_g0_26#0#ref#0	samp_g0_26#0#ref#0	1
samp_g0_85#1#ref#0	samp_g0_85#1#ref#0	1
samp_g0_85#0#ref#0	samp_g0_85#0#ref#0	1
samp_g0_89#0#ref#0	samp_g0_89#0#ref#0	1
samp_g0_89#1#ref#0	samp_g0_89#1#ref#0	1
samp_g0_68#0#ref#0	samp_g0_68#0#ref#0	1
samp_g0_14#0#ref#0	samp_g0_14#0#ref#0	1
samp_g0_42#1#ref#0	samp_g0_42#1#ref#0	1
samp_g0_54#1#ref#0	samp_g0_54#1#ref#0	1
samp_g0_42#0#ref#0	samp_g0_42#0#ref#0	1
samp_g0_54#0#ref#0	samp_g0_54#0#ref#0	1
samp_g0_14#1#ref#0	samp_g0_14#1#ref#0	1
samp_g0_62#1#ref#0	samp_g0_62#1#ref#0	1
samp_g0_6#1#ref#0	samp_g0_6#1#ref#0	1
samp_g0_36#1#ref#0	samp_g0_36#1#ref#0	1
samp_g0_49#0#ref#0	samp_g0_49#0#ref#0	1
samp_g0_36#0#ref#0	samp_g0_36#0#ref#0	1
samp_g0_6#0#ref#0	samp_g0_6#0#ref#0	1
samp_g0_81#0#ref#0	samp_g0_81#0#ref#0	1
samp_g0_62#0#ref#0	samp_g0_62#0#ref#0	1
samp_g0_81#1#ref#0	samp_g0_81#1#ref#0	1
samp_g0_40#0#ref#0	samp_g0_40#0#ref#0	1
samp_g0_43#1#ref#0	samp_g0_43#1#ref#0	1
samp_g0_40#1#ref#0	samp_g0_40#1#ref#0	1
samp_g0_43#0#ref#0	samp_g0_43#0#ref#0	1
samp_g0_45#0#ref#0	samp_g0_45#0#ref#0	1
samp_g0_82#0#ref#0	samp_g0_82#0#ref#0	1
samp_g0_45#1#ref#0	samp_g0_45#1#ref#0	1
samp_g0_82#1#ref#0	samp_g0_82#1#ref#0	1
samp_g0_5#1#ref#0	samp_g0_5#1#ref#0	1
samp_g0_5#0#ref#0	samp_g0_5#0#ref#0	1
samp_g0_27#0#ref#0	samp_g0_27#0#ref#0	1
samp_g0_27#1#ref#0	samp_g0_27#1#ref#0	1
samp_g0_92#0#ref#0	samp_g0_92#0#ref#0	1
samp_g0_92#1#ref#0	samp_g0_92#1#ref#0	1
samp_g0_87#0#ref#0	samp_g0_87#0#ref#0	1
samp_g0_87#1#ref#0	samp_g0_87#1#ref#0	1
samp_g0_86#1#ref#0	samp_g0_86#1#ref#0	1
samp_g0_86#0#ref#0	samp_g0_86#0#ref#0	1
samp_g0_74#0#ref#0	samp_g0_74#0#ref#0	1
samp_g0_74#1#ref#0	samp_g0_74#1#ref#0	1
samp_g0_57#1#ref#0	samp_g0_57#1#ref#0	1
samp_g0_57#0#ref#0	samp_g0_57#0#ref#0	1
samp_g0_53#1#ref#0	samp_g0_53#1#ref#0	1
samp_g0_97#0#ref#0	samp_g0_97#0#ref#0	1
samp_g0_53#0#ref#0	samp_g0_53#0#ref#0	1
samp_g0_97#1#ref#0	samp_g0_97#1#ref#0	1
samp_g0_17#1#ref#0	samp_g0_17#1#ref#0	1
samp_g0_17#0#ref#0	samp_g0_17#0#ref#0	1
samp_g0_69#1#ref#0	samp_g0_69#1#ref#0	1
samp_g0_69#0#ref#0	samp_g0_69#0#ref#0	1
samp_g0_33#1#ref#0	samp_g0_33#1#ref#0	1
samp_g0_33#0#ref#0	samp_g0_33#0#ref#0	1
samp_g0_37#0#ref#0	samp_g0_37#0#ref#0	1
samp_g0_37#1#ref#0	samp_g0_37#1#ref#0	1
samp_g0_44#0#ref#0	samp_g0_44#0#ref#0	1
samp_g0_63#1#ref#0	samp_g0_63#1#ref#0	1
samp_g0_44#1#ref#0	samp_g0_44#1#ref#0	1
samp_g0_63#0#ref#0	samp_g0_63#0#ref#0	1
samp_g0_79#0#ref#0	samp_g0_79#0#ref#0	1
samp_g0_79#1#ref#0	samp_g0_79#1#ref#0	1
samp_g0_15#1#ref#0	samp_g0_15#1#ref#0	1
samp_g0_15#0#ref#0	samp_g0_15#0#ref#0	1
samp_g0_80#1#ref#0	samp_g0_80#1#ref#0	1
samp_g0_80#0#ref#0	samp_g0_80#0#ref#0	1
samp_g0_12#1#ref#0	samp_g0_12#1#ref#0	1
samp_g0_58#1#ref#0	samp_g0_58#1#ref#0	1
samp_g0_58#0#ref#0	samp_g0_58#0#ref#0	1
samp_g0_73#0#ref#0	samp_g0_73#0#ref#0	1
samp_g0_60#0#ref#0	samp_g0_60#0#ref#0	1
samp_g1_4#1#ref#0	samp_g1_4#1#ref#0	2
samp_g1_99#1#ref#0	samp_g1_99#1#ref#0	2
samp_g1_99#0#ref#0	samp_g1_99#0#ref#0	2
samp_g1_81#1#ref#0	samp_g1_81#1#ref#0	2
samp_g1_81#0#ref#0	samp_g1_81#0#ref#0	2
samp_g1_72#1#ref#0	samp_g1_72#1#ref#0	2
samp_g1_2#0#ref#0	samp_g1_2#0#ref#0	2
samp_g1_2#1#ref#0	samp_g1_2#1#ref#0	2
samp_g1_72#0#ref#0	samp_g1_72#0#ref#0	2
samp_g1_89#1#ref#0	samp_g1_89#1#ref#0	2
samp_g1_57#1#ref#0	samp_g1_57#1#ref#0	2
samp_g1_10#0#ref#0	samp_g1_10#0#ref#0	2
samp_g1_20#0#ref#0	samp_g1_20#0#ref#0	2
samp_g1_20#1#ref#0	samp_g1_20#1#ref#0	2
samp_g1_10#1#ref#0	samp_g1_10#1#ref#0	2
samp_g1_34#0#ref#0	samp_g1_34#0#ref#0	2
samp_g1_57#0#ref#0	samp_g1_57#0#ref#0	2
samp_g1_89#0#ref#0	samp_g1_89#0#ref#0	2
samp_g1_34#1#ref#0	samp_g1_34#1#ref#0	2
samp_g1_31#1#ref#0	samp_g1_31#1#ref#0	2
samp_g1_31#0#ref#0	samp_g1_31#0#ref#0	2
samp_g1_42#0#ref#0	samp_g1_42#0#ref#0	2
samp_g1_42#1#ref#0	samp_g1_42#1#ref#0	2
samp_g1_36#0#ref#0	samp_g1_36#0#ref#0	2
samp_g1_36#1#ref#0	samp_g1_36#1#ref#0	2
samp_g1_24#1#ref#0	samp_g1_24#1#ref#0	2
samp_g1_24#0#ref#0	samp_g1_24#0#ref#0	2
samp_g1_84#0#ref#0	samp_g1_84#0#ref#0	2
samp_g1_84#1#ref#0	samp_g1_84#1#ref#0	2
samp_g1_70#1#ref#0	samp_g1_70#1#ref#0	2
samp_g1_70#0#ref#0	samp_g1_70#0#ref#0	2
samp_g1_92#1#ref#0	samp_g1_92#1#ref#0	2
samp_g1_92#0#ref#0	samp_g1_92#0#ref#0	2
samp_g1_5#0#ref#0	samp_g1_5#0#ref#0	2
samp_g1_67#1#ref#0	samp_g1_67#1#ref#0	2
samp_g1_5#1#ref#0	samp_g1_5#1#ref#0	2
samp_g1_67#0#ref#0	samp_g1_67#0#ref#0	2
samp_g1_83#0#ref#0	samp_g1_83#0#ref#0	2
samp_g1_83#1#ref#0	samp_g1_83#1#ref#0	2
samp_g1_12#0#ref#0	samp_g1_12#0#ref#0	2
samp_g1_12#1#ref#0	samp_g1_12#1#ref#0	2
samp_g1_54#0#ref#0	samp_g1_54#0#ref#0	2
samp_g1_82#1#ref#0	samp_g1_82#1#ref#0	2
samp_g1_82#0#ref#0	samp_g1_82#0#ref#0	2
samp_g1_66#1#ref#0	samp_g1_66#1#ref#0	2
samp_g1_54#1#ref#0	samp_g1_54#1#ref#0	2
samp_g1_3#0#ref#0	samp_g1_3#0#ref#0	2
samp_g1_3#1#ref#0	samp_g1_3#1#ref#0	2
samp_g1_35#0#ref#0	samp_g1_35#0#ref#0	2
samp_g1_35#1#ref#0	samp_g1_35#1#ref#0	2
samp_g1_8#1#ref#0	samp_g1_8#1#ref#0	2
samp_g1_21#1#ref#0	samp_g1_21#1#ref#0	2
samp_g1_21#0#ref#0	samp_g1_21#0#ref#0	2
samp_g1_78#0#ref#0	samp_g1_78#0#ref#0	2
samp_g1_8#0#ref#0	samp_g1_8#0#ref#0	2
samp_g1_66#0#ref#0	samp_g1_66#0#ref#0	2
samp_g1_29#0#ref#0	samp_g1_29#0#ref#0	2
samp_g1_33#1#ref#0	samp_g1_33#1#ref#0	2
samp_g1_33#0#ref#0	samp_g1_33#0#ref#0	2
samp_g1_78#1#ref#0	samp_g1_78#1#ref#0	2
samp_g1_43#1#ref#0	samp_g1_43#1#ref#0	2
samp_g1_43#0#ref#0	samp_g1_43#0#ref#0	2
samp_g1_71#0#ref#0	samp_g1_71#0#ref#0	2
samp_g1_71#1#ref#0	samp_g1_71#1#ref#0	2
samp_g1_26#0#ref#0	samp_g1_26#0#ref#0	2
samp_g1_26#1#ref#0	samp_g1_26#1#ref#0	2
samp_g1_65#0#ref#0	samp_g1_65#0#ref#0	2
samp_g1_65#1#ref#0	samp_g1_65#1#ref#0	2
samp_g1_25#0#ref#0	samp_g1_25#0#ref#0	2
samp_g1_50#0#ref#0	samp_g1_50#0#ref#0	2
samp_g1_25#1#ref#0	samp_g1_25#1#ref#0	2
samp_g1_50#1#ref#0	samp_g1_50#1#ref#0	2
samp_g1_1#1#ref#0	samp_g1_1#1#ref#0	2
samp_g1_1#0#ref#0	samp_g1_1#0#ref#0	2
samp_g1_23#1#ref#0	samp_g1_23#1#ref#0	2
samp_g1_23#0#ref#0	samp_g1_23#0#ref#0	2
samp_g1_48#0#ref#0	samp_g1_48#0#ref#0	2
samp_g1_48#1#ref#0	samp_g1_48#1#ref#0	2
samp_g1_63#1#ref#0	samp_g1_63#1#ref#0	2
samp_g1_91#1#ref#0	samp_g1_91#1#ref#0	2
samp_g1_91#0#ref#0	samp_g1_91#0#ref#0	2
samp_g1_64#0#ref#0	samp_g1_64#0#ref#0	2
samp_g1_64#1#ref#0	samp_g1_64#1#ref#0	2
samp_g1_63#0#ref#0	samp_g1_63#0#ref#0	2
samp_g1_85#1#ref#0	samp_g1_85#1#ref#0	2
samp_g1_49#1#ref#0	samp_g1_49#1#ref#0	2
samp_g1_85#0#ref#0	samp_g1_85#0#ref#0	2
samp_g1_49#0#ref#0	samp_g1_49#0#ref#0	2
samp_g1_45#1#ref#0	samp_g1_45#1#ref#0	2
samp_g1_94#0#ref#0	samp_g1_94#0#ref#0	2
samp_g1_94#1#ref#0	samp_g1_94#1#ref#0	2
samp_g1_68#1#ref#0	samp_g1_68#1#ref#0	2
samp_g1_27#0#ref#0	samp_g1_27#0#ref#0	2
samp_g1_68#0#ref#0	samp_g1_68#0#ref#0	2
samp_g1_27#1#ref#0	samp_g1_27#1#ref#0	2
samp_g1_45#0#ref#0	samp_g1_45#0#ref#0	2
samp_g1_75#0#ref#0	samp_g1_75#0#ref#0	2
samp_g1_60#1#ref#0	samp_g1_60#1#ref#0	2
samp_g1_75#1#ref#0	samp_g1_75#1#ref#0	2
samp_g1_86#0#ref#0	samp_g1_86#0#ref#0	2
samp_g1_86#1#ref#0	samp_g1_86#1#ref#0	2
samp_g1_95#0#ref#0	samp_g1_95#0#ref#0	2
samp_g1_95#1#ref#0	samp_g1_95#1#ref#0	2
samp_g1_60#0#ref#0	samp_g1_60#0#ref#0	2
samp_g1_44#0#ref#0	samp_g1_44#0#ref#0	2
samp_g1_28#0#ref#0	samp_g1_28#0#ref#0	2
samp_g1_28#1#ref#0	samp_g1_28#1#ref#0	2
samp_g1_44#1#ref#0	samp_g1_44#1#ref#0	2
samp_g1_14#1#ref#0	samp_g1_14#1#ref#0	2
samp_g1_14#0#ref#0	samp_g1_14#0#ref#0	2
samp_g1_17#0#ref#0	samp_g1_17#0#ref#0	2
samp_g1_87#0#ref#0	samp_g1_87#0#ref#0	2
samp_g1_80#1#ref#0	samp_g1_80#1#ref#0	2
samp_g1_80#0#ref#0	samp_g1_80#0#ref#0	2
samp_g1_87#1#ref#0	samp_g1_87#1#ref#0	2
samp_g1_17#1#ref#0	samp_g1_17#1#ref#0	2
samp_g1_98#1#ref#0	samp_g1_98#1#ref#0	2
samp_g1_98#0#ref#0	samp_g1_98#0#ref#0	2
samp_g1_88#0#ref#0	samp_g1_88#0#ref#0	2
samp_g1_88#1#ref#0	samp_g1_88#1#ref#0	2
samp_g1_18#1#ref#0	samp_g1_18#1#ref#0	2
samp_g1_18#0#ref#0	samp_g1_18#0#ref#0	2
samp_g1_74#0#ref#0	samp_g1_74#0#ref#0	2
samp_g1_74#1#ref#0	samp_g1_74#1#ref#0	2
samp_g1_93#0#ref#0	samp_g1_93#0#ref#0	2
samp_g1_93#1#ref#0	samp_g1_93#1#ref#0	2
samp_g1_96#0#ref#0	samp_g1_96#0#ref#0	2
samp_g1_16#1#ref#0	samp_g1_16#1#ref#0	2
samp_g1_51#0#ref#0	samp_g1_51#0#ref#0	2
samp_g1_16#0#ref#0	samp_g1_16#0#ref#0	2
samp_g1_51#1#ref#0	samp_g1_51#1#ref#0	2
samp_g1_96#1#ref#0	samp_g1_96#1#ref#0	2
samp_g1_7#1#ref#0	samp_g1_7#1#ref#0	2
samp_g1_62#1#ref#0	samp_g1_62#1#ref#0	2
samp_g1_7#0#ref#0	samp_g1_7#0#ref#0	2
samp_g1_32#1#ref#0	samp_g1_32#1#ref#0	2
samp_g1_32#0#ref#0	samp_g1_32#0#ref#0	2
samp_g1_62#0#ref#0	samp_g1_62#0#ref#0	2
samp_g1_69#1#ref#0	samp_g1_69#1#ref#0	2
samp_g1_29#1#ref#0	samp_g1_29#1#ref#0	2
samp_g1_69#0#ref#0	samp_g1_69#0#ref#0	2
samp_g1_56#1#ref#0	samp_g1_56#1#ref#0	2
samp_g1_15#1#ref#0	samp_g1_15#1#ref#0	2
samp_g1_30#0#ref#0	samp_g1_30#0#ref#0	2
samp_g1_30#1#ref#0	samp_g1_30#1#ref#0	2
samp_g1_52#1#ref#0	samp_g1_52#1#ref#0	2
samp_g1_52#0#ref#0	samp_g1_52#0#ref#0	2
samp_g1_73#0#ref#0	samp_g1_73#0#ref#0	2
samp_g1_73#1#ref#0	samp_g1_73#1#ref#0	2
samp_g1_15#0#ref#0	samp_g1_15#0#ref#0	2
samp_g1_56#0#ref#0	samp_g1_56#0#ref#0	2
samp_g1_0#1#ref#0	samp_g1_0#1#ref#0	2
samp_g1_77#0#ref#0	samp_g1_77#0#ref#0	2
samp_g1_0#0#ref#0	samp_g1_0#0#ref#0	2
samp_g1_77#1#ref#0	samp_g1_77#1#ref#0	2
samp_g1_11#1#ref#0	samp_g1_11#1#ref#0	2
samp_g1_40#0#ref#0	samp_g1_40#0#ref#0	2
samp_g1_40#1#ref#0	samp_g1_40#1#ref#0	2
samp_g1_76#1#ref#0	samp_g1_76#1#ref#0	2
samp_g1_76#0#ref#0	samp_g1_76#0#ref#0	2
samp_g1_11#0#ref#0	samp_g1_11#0#ref#0	2
samp_g1_39#1#ref#0	samp_g1_39#1#ref#0	2
samp_g1_39#0#ref#0	samp_g1_39#0#ref#0	2
samp_g1_97#0#ref#0	samp_g1_97#0#ref#0	2
samp_g1_9#1#ref#0	samp_g1_9#1#ref#0	2
samp_g1_9#0#ref#0	samp_g1_9#0#ref#0	2
samp_g1_97#1#ref#0	samp_g1_97#1#ref#0	2
samp_g1_6#1#ref#0	samp_g1_6#1#ref#0	2
samp_g1_90#1#ref#0	samp_g1_90#1#ref#0	2
samp_g1_6#0#ref#0	samp_g1_6#0#ref#0	2
samp_g1_90#0#ref#0	samp_g1_90#0#ref#0	2
samp_g1_41#0#ref#0	samp_g1_41#0#ref#0	2
samp_g1_41#1#ref#0	samp_g1_41#1#ref#0	2
samp_g1_46#0#ref#0	samp_g1_46#0#ref#0	2
samp_g1_46#1#ref#0	samp_g1_46#1#ref#0	2
samp_g1_22#1#ref#0	samp_g1_22#1#ref#0	2
samp_g1_61#0#ref#0	samp_g1_61#0#ref#0	2
samp_g1_13#0#ref#0	samp_g1_13#0#ref#0	2
samp_g1_22#0#ref#0	samp_g1_22#0#ref#0	2
samp_g1_37#0#ref#0	samp_g1_37#0#ref#0	2
samp_g1_37#1#ref#0	samp_g1_37#1#ref#0	2
samp_g1_55#1#ref#0	samp_g1_55#1#ref#0	2
samp_g1_13#1#ref#0	samp_g1_13#1#ref#0	2
samp_g1_53#1#ref#0	samp_g1_53#1#ref#0	2
samp_g1_53#0#ref#0	samp_g1_53#0#ref#0	2
samp_g1_61#1#ref#0	samp_g1_61#1#ref#0	2
samp_g1_55#0#ref#0	samp_g1_55#0#ref#0	2
samp_g1_58#0#ref#0	samp_g1_58#0#ref#0	2
samp_g1_58#1#ref#0	samp_g1_58#1#ref#0	2
samp_g1_19#1#ref#0	samp_g1_19#1#ref#0	2
samp_g1_38#0#ref#0	samp_g1_38#0#ref#0	2
samp_g1_38#1#ref#0	samp_g1_38#1#ref#0	2
samp_g1_79#1#ref#0	samp_g1_79#1#ref#0	2
samp_g1_79#0#ref#0	samp_g1_79#0#ref#0	2
samp_g1_47#0#ref#0	samp_g1_47#0#ref#0	2
samp_g1_47#1#ref#0	samp_g1_47#1#ref#0	2
samp_g1_19#0#ref#0	samp_g1_19#0#ref#0	2
samp_g1_4#0#ref#0	samp_g1_4#0#ref#0	2
samp_g1_59#0#ref#0	samp_g1_59#0#ref#0	2
samp_g1_59#1#ref#0	samp_g1_59#1#ref#0	2
